feature_id	feature_family	feature_name	n_genes_defined	n_genes_present	genes_present	view	cohort
Reactome::Synthesis of PA	Reactome	Synthesis of PA	39	32	ACP6;AGPAT1;AGPAT2;AGPAT3;AGPAT4;AGPAT5;DDHD1;DDHD2;GNPAT;GPAM;GPAT2;GPAT3;GPAT4;GPD1;GPD1L;GPD2;LCLAT1;LIPH;LPCAT1;LPCAT4;MIGA1;MIGA2;PLA2G12A;PLA2G2A;PLA2G2F;PLA2G4A;PLA2G4B;PLA2G4D;PLA2R1;PLD1;PLD2;PLD6	NL	discovery
Reactome::Synthesis of PC	Reactome	Synthesis of PC	28	24	ABHD3;BCHE;CEPT1;CHKA;CHKB;CHPT1;CSNK2A1;CSNK2A2;CSNK2B;LPCAT1;LPIN1;LPIN2;LPIN3;MFSD2A;PCTP;PCYT1A;PEMT;PHOSPHO1;SLC44A1;SLC44A2;SLC44A3;SLC44A5;STARD10;STARD7	NL	discovery
Reactome::Synthesis of PE	Reactome	Synthesis of PE	13	12	CEPT1;CHKA;CHKB;ETNK1;ETNK2;LPIN1;LPIN2;LPIN3;PCYT2;PHOSPHO1;PISD;SELENOI	NL	discovery
Reactome::Synthesis of PIPs at the Golgi membrane	Reactome	Synthesis of PIPs at the Golgi membrane	18	16	ARF1;ARF3;FIG4;INPP5E;OCRL;PI4K2A;PI4K2B;PI4KA;PI4KB;PIK3C2A;PIK3C2G;PIK3C3;PIK3R4;PIKFYVE;SACM1L;VAC14	NL	discovery
Reactome::Synthesis of PIPs at the early endosome membrane	Reactome	Synthesis of PIPs at the early endosome membrane	16	16	FIG4;INPP4A;INPP4B;INPP5F;MTM1;MTMR10;MTMR12;MTMR2;MTMR4;PI4K2A;PI4K2B;PIK3C2A;PIK3C3;PIK3R4;PIKFYVE;VAC14	NL	discovery
Reactome::Synthesis of PIPs at the late endosome membrane	Reactome	Synthesis of PIPs at the late endosome membrane	11	11	FIG4;MTM1;MTMR2;MTMR4;MTMR7;MTMR9;PIK3C2A;PIK3C3;PIK3R4;PIKFYVE;VAC14	NL	discovery
Reactome::Synthesis of PIPs at the plasma membrane	Reactome	Synthesis of PIPs at the plasma membrane	53	53	ARF1;BMX;INPP4A;INPP4B;INPP5D;INPP5J;INPP5K;INPPL1;MTM1;MTMR1;MTMR14;MTMR2;MTMR3;MTMR6;MTMR8;MTMR9;OCRL;PI4K2A;PI4K2B;PIK3C2A;PIK3C2B;PIK3C2G;PIK3CA;PIK3CB;PIK3CD;PIK3CG;PIK3R1;PIK3R2;PIK3R3;PIK3R5;PIK3R6;PIP4K2A;PIP4K2B;PIP4K2C;PIP5K1A;PIP5K1B;PIP5K1C;PLEKHA1;PLEKHA2;PLEKHA3;PLEKHA4;PLEKHA5;PLEKHA6;PLEKHA8;PTEN;PTPN13;RAB14;RAB4A;RAB5A;RUFY1;SBF2;SYNJ1;SYNJ2	NL	discovery
Reactome::Synthesis of Prostaglandins (PG) and Thromboxanes (TX)	Reactome	Synthesis of Prostaglandins (PG) and Thromboxanes (TX)	15	15	AKR1C3;CBR1;CYP8B1;HPGD;HPGDS;PRXL2B;PTGDS;PTGES;PTGES2;PTGES3;PTGIS;PTGR2;PTGS1;PTGS2;TBXAS1	NL	discovery
Reactome::Synthesis of active ubiquitin: roles of E1 and E2 enzymes	Reactome	Synthesis of active ubiquitin: roles of E1 and E2 enzymes	30	30	CDC34;OTULIN;RPS27A;UBA1;UBA52;UBA6;UBB;UBC;UBE2A;UBE2B;UBE2C;UBE2D1;UBE2D2;UBE2E1;UBE2E3;UBE2G1;UBE2G2;UBE2H;UBE2K;UBE2L3;UBE2Q2;UBE2R2;UBE2S;UBE2T;UBE2W;UBE2Z;UCHL3;USP5;USP7;USP9X	NL	discovery
Reactome::Synthesis of bile acids and bile salts	Reactome	Synthesis of bile acids and bile salts	34	29	ABCB11;ABCD3;ACOT8;ACOX2;AKR1C1;AKR1C2;AKR1C3;AMACR;CH25H;CYP27A1;CYP39A1;CYP46A1;CYP7B1;CYP8B1;HSD17B4;HSD3B7;NCOA1;NCOA2;OSBP;OSBPL1A;OSBPL2;OSBPL3;OSBPL6;OSBPL7;OSBPL9;RXRA;SCP2;SLC27A2;SLC27A5	NL	discovery
Reactome::Synthesis of bile acids and bile salts via 24-hydroxycholesterol	Reactome	Synthesis of bile acids and bile salts via 24-hydroxycholesterol	13	11	ABCD3;AKR1C1;AKR1C2;AKR1C3;AMACR;CYP27A1;CYP39A1;CYP46A1;HSD3B7;SLC27A2;SLC27A5	NL	discovery
Reactome::Synthesis of bile acids and bile salts via 27-hydroxycholesterol	Reactome	Synthesis of bile acids and bile salts via 27-hydroxycholesterol	14	10	AKR1C1;AKR1C2;AKR1C3;CYP27A1;CYP7B1;CYP8B1;HSD3B7;NCOA1;NCOA2;RXRA	NL	discovery
Reactome::Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol	Reactome	Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol	23	18	ABCB11;ABCD3;ACOT8;ACOX2;AKR1C1;AKR1C2;AKR1C3;AMACR;CYP27A1;CYP8B1;HSD17B4;HSD3B7;NCOA1;NCOA2;RXRA;SCP2;SLC27A2;SLC27A5	NL	discovery
Reactome::Synthesis of glycosylphosphatidylinositol (GPI)	Reactome	Synthesis of glycosylphosphatidylinositol (GPI)	18	18	DPM2;PIGA;PIGB;PIGC;PIGF;PIGG;PIGH;PIGL;PIGM;PIGN;PIGO;PIGP;PIGQ;PIGV;PIGW;PIGX;PIGY;PIGZ	NL	discovery
Reactome::Synthesis of pyrophosphates in the cytosol	Reactome	Synthesis of pyrophosphates in the cytosol	10	8	IP6K1;IPPK;ITPK1;NUDT11;NUDT3;NUDT4;PPIP5K1;PPIP5K2	NL	discovery
Reactome::Synthesis of substrates in N-glycan biosythesis	Reactome	Synthesis of substrates in N-glycan biosythesis	65	62	ALG5;AMDHD2;CMAS;CTSA;DHDDS;DHRSX;DOLK;DOLPP1;DPM1;DPM2;DPM3;FCSK;FPGT;FUOM;GFPT1;GFPT2;GFUS;GLB1;GMDS;GMPPA;GMPPB;GNE;GNPNAT1;HK1;MPI;MVD;NAGK;NANP;NANS;NEU1;NEU2;NEU3;NPL;NUDT14;NUS1;PGM3;PMM1;PMM2;RENBP;SLC17A5;SLC35A1;SLC35C1;SRD5A3;ST3GAL1;ST3GAL2;ST3GAL3;ST3GAL4;ST3GAL5;ST3GAL6;ST6GAL1;ST6GAL2;ST6GALNAC1;ST6GALNAC2;ST6GALNAC3;ST6GALNAC4;ST6GALNAC5;ST6GALNAC6;ST8SIA1;ST8SIA2;ST8SIA4;ST8SIA6;UAP1	NL	discovery
Reactome::Synthesis of very long-chain fatty acyl-CoAs	Reactome	Synthesis of very long-chain fatty acyl-CoAs	24	19	ACSBG1;ACSF3;ACSL1;ACSL3;ACSL4;ACSL5;ELOVL1;ELOVL3;ELOVL4;ELOVL5;ELOVL6;ELOVL7;HACD1;HACD2;HACD3;HACD4;HSD17B12;SLC27A3;TECR	NL	discovery
Reactome::Synthesis, secretion, and deacylation of Ghrelin	Reactome	Synthesis, secretion, and deacylation of Ghrelin	19	10	BCHE;IGF1;KLF4;LEP;PLA2G7;SEC11A;SEC11C;SPCS1;SPCS2;SPCS3	NL	discovery
Reactome::Synthesis, secretion, and inactivation of Glucagon-like Peptide-1 (GLP-1)	Reactome	Synthesis, secretion, and inactivation of Glucagon-like Peptide-1 (GLP-1)	21	11	CTNNB1;DPP4;FFAR4;GNB1;LEP;SEC11A;SEC11C;SPCS1;SPCS2;SPCS3;TCF7L2	NL	discovery
Reactome::Synthesis, secretion, and inactivation of Glucose-dependent Insulinotropic Polypeptide (GIP)	Reactome	Synthesis, secretion, and inactivation of Glucose-dependent Insulinotropic Polypeptide (GIP)	13	7	DPP4;ISL1;SEC11A;SEC11C;SPCS1;SPCS2;SPCS3	NL	discovery
Reactome::TAK1-dependent IKK and NF-kappa-B activation	Reactome	TAK1-dependent IKK and NF-kappa-B activation	45	43	ALPK1;APP;CASP8;CHUK;HMGB1;IKBIP;IKBKB;IKBKG;IRAK1;IRAK2;LRRC14;MAP3K7;N4BP1;NFKB1;NFKB2;NFKBIA;NFKBIB;NKIRAS1;NKIRAS2;NLRC5;NLRX1;NOD1;NOD2;RELA;RIPK2;RPS27A;S100A12;S100B;SAA1;TAB1;TAB2;TAB3;TIFA;TP53;TRAF2;TRAF6;UBA52;UBB;UBC;UBE2N;UBE2V1;USP14;USP18	NL	discovery
Reactome::TBC/RABGAPs	Reactome	TBC/RABGAPs	45	44	ARF6;GABARAP;GABARAPL2;GGA1;GGA2;GGA3;MAP1LC3B;OPTN;POLG;RAB11A;RAB11B;RAB33B;RAB35;RAB4A;RAB5A;RAB5B;RAB5C;RAB6A;RAB6B;RAB7A;RAB7B;RAB8A;RAB8B;RABEP1;RABGAP1;RABGEF1;SYTL1;TBC1D10A;TBC1D10B;TBC1D10C;TBC1D13;TBC1D14;TBC1D15;TBC1D16;TBC1D17;TBC1D2;TBC1D20;TBC1D24;TBC1D25;TBC1D3;TBC1D7;TSC1;TSC2;ULK1	NL	discovery
Reactome::TCF dependent signaling in response to WNT	Reactome	TCF dependent signaling in response to WNT	191	163	ADRM1;AKT1;AKT2;AMER1;APC;ASH2L;AXIN1;AXIN2;BCL9;BCL9L;BTRC;CAV1;CBY1;CCDC88C;CDC73;CHD8;CREBBP;CSNK1A1;CSNK1E;CSNK1G2;CSNK2A1;CSNK2A2;CSNK2B;CTBP1;CTNNB1;CTNNBIP1;CUL3;CXXC4;DACT1;DKK2;DKK4;DPY30;DVL1;DVL2;DVL3;EP300;FRAT1;FRAT2;FZD1;FZD4;FZD5;FZD6;FZD8;GSK3B;H2AC6;H2AJ;H2AX;H2AZ2;H2BC11;H2BC12;H2BC21;H2BC26;H2BC4;H2BC5;H3-3A;HDAC1;KAT5;KLHL12;KMT2B;KREMEN1;KREMEN2;LEF1;LEO1;LGR4;LGR5;LGR6;LRP5;LRP6;MEN1;MYC;PIP5K1B;PPP2CA;PPP2CB;PPP2R1A;PPP2R1B;PPP2R5A;PPP2R5B;PPP2R5C;PPP2R5D;PPP2R5E;PSMA1;PSMA2;PSMA3;PSMA4;PSMA5;PSMA6;PSMA7;PSMB1;PSMB2;PSMB3;PSMB4;PSMB5;PSMB6;PSMB7;PSMC1;PSMC2;PSMC3;PSMC4;PSMC5;PSMC6;PSMD1;PSMD11;PSMD12;PSMD13;PSMD14;PSMD2;PSMD3;PSMD6;PSMD7;PSMD8;PYGO1;PYGO2;RBBP5;RBX1;RNF146;RNF43;RPS27A;RSPO1;RSPO3;RUNX3;RUVBL1;RYK;SEM1;SFRP1;SFRP2;SMARCA4;SMURF2;SOST;SOX13;SOX17;SOX2;SOX4;SOX6;SOX7;SOX9;SRY;TCF4;TCF7;TCF7L1;TCF7L2;TLE1;TLE2;TLE3;TLE4;TNKS;TNKS2;TRRAP;UBA52;UBB;UBC;USP34;USP8;WDR5;WIF1;WNT3;WNT3A;WNT4;WNT5A;WNT9A;XIAP;XPO1;YWHAZ;ZNRF3	NL	discovery
Reactome::TCR signaling	Reactome	TCR signaling	113	105	ADRM1;BCL10;BTRC;CARD11;CD101;CD247;CD3D;CD3E;CD3G;CD4;CDC34;CHUK;CSK;CUL1;ENAH;EVL;FBXW11;FYB1;GRAP2;HLA-DPA1;HLA-DPB1;HLA-DQA1;HLA-DQA2;HLA-DQB1;HLA-DQB2;HLA-DRA;HLA-DRB1;HLA-DRB5;IKBKB;IKBKG;INPP5D;ITK;LAT;LCK;LCP2;MALT1;MAP3K7;NCK1;NFKB1;NFKBIA;PAG1;PAK1;PAK2;PAK3;PDPK1;PIK3CA;PIK3CB;PIK3R1;PIK3R2;PLCG1;PLCG2;PRKCQ;PSMA1;PSMA2;PSMA3;PSMA4;PSMA5;PSMA6;PSMA7;PSMB1;PSMB2;PSMB3;PSMB4;PSMB5;PSMB6;PSMB7;PSMC1;PSMC2;PSMC3;PSMC4;PSMC5;PSMC6;PSMD1;PSMD11;PSMD12;PSMD13;PSMD14;PSMD2;PSMD3;PSMD6;PSMD7;PSMD8;PTEN;PTPN22;PTPRC;PTPRJ;RELA;RIPK2;RPS27A;SEM1;SKP1;TAB2;TRAC;TRAF6;TRBC1;UBA52;UBB;UBC;UBE2D1;UBE2D2;UBE2N;UBE2V1;VASP;WAS;ZAP70	NL	discovery
Reactome::TFAP2 (AP-2) family regulates transcription of growth factors and their receptors	Reactome	TFAP2 (AP-2) family regulates transcription of growth factors and their receptors	13	11	ATAD2;EGFR;ERBB2;ESR1;KIT;TFAP2A;TFAP2B;TFAP2C;TGFA;VEGFA;YY1	NL	discovery
Reactome::TGF-beta receptor signaling activates SMADs	Reactome	TGF-beta receptor signaling activates SMADs	47	47	BAMBI;CBL;FBN1;FKBP1A;FURIN;ITGA8;ITGAV;ITGB1;ITGB3;ITGB5;ITGB6;ITGB8;LTBP1;LTBP2;LTBP3;LTBP4;MTMR4;NEDD4L;NEDD8;PMEPA1;PPP1CA;PPP1CB;PPP1CC;PPP1R15A;RPS27A;SMAD2;SMAD3;SMAD4;SMAD7;SMURF1;SMURF2;STRAP;STUB1;TGFB1;TGFB2;TGFB3;TGFBR1;TGFBR2;TGFBR3;UBA52;UBB;UBC;UBE2M;UCHL5;USP15;XPO1;ZFYVE9	NL	discovery
Reactome::TGF-beta receptor signaling in EMT (epithelial to mesenchymal transition)	Reactome	TGF-beta receptor signaling in EMT (epithelial to mesenchymal transition)	16	16	ARHGEF18;CGN;F11R;FKBP1A;PARD3;PARD6A;PRKCZ;RHOA;RPS27A;SMURF1;TGFB1;TGFBR1;TGFBR2;UBA52;UBB;UBC	NL	discovery
Reactome::TGFBR3 PTM regulation	Reactome	TGFBR3 PTM regulation	11	11	APH1A;APH1B;MMP14;MMP16;NCSTN;PSEN1;PSEN2;PSENEN;TGFBR3;TIMP1;TIMP2	NL	discovery
Reactome::TGFBR3 expression	Reactome	TGFBR3 expression	28	21	AGO1;AGO2;AGO3;AGO4;EP300;HELLS;KLF16;MOV10;MYCN;RARA;RXRA;SMAD3;SMAD4;SP1;TCF12;TCF3;TCF4;TGFBR3;TNRC6A;TNRC6B;TNRC6C	NL	discovery
Reactome::TICAM1, RIP1-mediated IKK complex recruitment	Reactome	TICAM1, RIP1-mediated IKK complex recruitment	19	19	BIRC2;BIRC3;CHUK;IKBKB;IKBKG;RIPK1;RIPK3;RPS27A;TICAM1;TLR3;TRAF6;UBA52;UBB;UBC;UBE2D1;UBE2D2;UBE2D3;UBE2N;UBE2V1	NL	discovery
Reactome::TICAM1,TRAF6-dependent induction of TAK1 complex	Reactome	TICAM1,TRAF6-dependent induction of TAK1 complex	11	11	MAP3K7;RPS27A;TAB1;TAB2;TAB3;TICAM1;TLR3;TRAF6;UBA52;UBB;UBC	NL	discovery
Reactome::TICAM1-dependent activation of IRF3/IRF7	Reactome	TICAM1-dependent activation of IRF3/IRF7	13	13	IKBKE;IRF3;IRF7;OPTN;RPS27A;TANK;TBK1;TICAM1;TLR3;TRAF3;UBA52;UBB;UBC	NL	discovery
Reactome::TNF receptor superfamily (TNFSF) members mediating non-canonical NF-kB pathway	Reactome	TNF receptor superfamily (TNFSF) members mediating non-canonical NF-kB pathway	17	13	BIRC2;BIRC3;CD40;LTBR;MAP3K14;TNFRSF11A;TNFRSF12A;TNFRSF13C;TNFSF12;TNFSF13B;TNFSF14;TRAF2;TRAF3	NL	discovery
Reactome::TNF signaling	Reactome	TNF signaling	59	56	ADAM17;BAG4;BIRC2;BIRC3;CASP8;CFLAR;CHUK;CLIP3;CYLD;FADD;IKBKB;IKBKE;IKBKG;MADD;MAP3K7;MAPKAPK2;MIB2;NSMAF;OPTN;OTUD1;OTUD7B;OTULIN;RACK1;RBCK1;RIPK1;RNF31;RPS27A;SHARPIN;SMPD2;SMPD3;SPATA2;SPPL2A;SPPL2B;STUB1;TAB1;TAB2;TAB3;TAX1BP1;TBK1;TNFAIP3;TNFRSF1A;TRADD;TRAF1;TRAF2;UBA52;UBB;UBC;UBE2D1;UBE2D2;UBE2D3;UBE2L3;ULK1;USP2;USP21;USP4;XIAP	NL	discovery
Reactome::TNFR1-induced NF-kappa-B signaling pathway	Reactome	TNFR1-induced NF-kappa-B signaling pathway	33	32	BIRC2;BIRC3;CHUK;CYLD;IKBKB;IKBKG;MAP3K7;OPTN;OTUD1;OTUD7B;RACK1;RBCK1;RIPK1;RNF31;RPS27A;SHARPIN;SPATA2;TAB1;TAB2;TAB3;TNFAIP3;TNFRSF1A;TRADD;TRAF1;TRAF2;UBA52;UBB;UBC;USP2;USP21;USP4;XIAP	NL	discovery
Reactome::TNFR1-induced proapoptotic signaling	Reactome	TNFR1-induced proapoptotic signaling	26	24	BIRC2;BIRC3;CASP8;CYLD;FADD;IKBKE;MIB2;OPTN;OTUD1;OTUD7B;RBCK1;RIPK1;RNF31;SHARPIN;SPATA2;TBK1;TNFAIP3;TNFRSF1A;TRADD;TRAF2;USP2;USP21;USP4;XIAP	NL	discovery
Reactome::TNFR2 non-canonical NF-kB pathway	Reactome	TNFR2 non-canonical NF-kB pathway	88	77	ADRM1;BIRC2;BIRC3;BTRC;CD27;CD40;CHUK;CUL1;EDA;EDA2R;EDAR;EDARADD;FBXW11;LTBR;MAP3K14;NFKB2;PSMA1;PSMA2;PSMA3;PSMA4;PSMA5;PSMA6;PSMA7;PSMB1;PSMB2;PSMB3;PSMB4;PSMB5;PSMB6;PSMB7;PSMC1;PSMC2;PSMC3;PSMC4;PSMC5;PSMC6;PSMD1;PSMD11;PSMD12;PSMD13;PSMD14;PSMD2;PSMD3;PSMD6;PSMD7;PSMD8;RELB;RPS27A;SEM1;SKP1;TNFRSF11A;TNFRSF11B;TNFRSF12A;TNFRSF13C;TNFRSF14;TNFRSF18;TNFRSF1A;TNFRSF1B;TNFRSF25;TNFRSF4;TNFRSF6B;TNFRSF8;TNFRSF9;TNFSF12;TNFSF13;TNFSF13B;TNFSF14;TNFSF15;TNFSF8;TNFSF9;TRAF2;TRAF3;UBA3;UBA52;UBB;UBC;UBE2M	NL	discovery
Reactome::TNFs bind their physiological receptors	Reactome	TNFs bind their physiological receptors	29	21	CD27;EDA;EDA2R;EDAR;EDARADD;TNFRSF11B;TNFRSF14;TNFRSF18;TNFRSF1A;TNFRSF1B;TNFRSF25;TNFRSF4;TNFRSF6B;TNFRSF8;TNFRSF9;TNFSF13;TNFSF13B;TNFSF14;TNFSF15;TNFSF8;TNFSF9	NL	discovery
Reactome::TP53 Regulates Metabolic Genes	Reactome	TP53 Regulates Metabolic Genes	86	78	AGO1;AGO2;AGO3;AGO4;AKT1;AKT2;AKT3;COX4I1;COX4I2;COX5A;COX5B;COX6A1;COX6B1;COX6B2;COX6C;COX7A1;COX7A2;COX7A2L;COX7B;COX7C;COX8A;CYCS;DDIT4;G6PD;GLS;GLS2;GPI;GPX2;GSR;LAMTOR1;LAMTOR2;LAMTOR3;LAMTOR4;LAMTOR5;MLST8;MOV10;MT-CO1;MT-CO2;MT-CO3;MTOR;PRDX1;PRDX2;PRDX5;PRKAA1;PRKAA2;PRKAB1;PRKAB2;PRKAG1;PRKAG2;PTEN;RHEB;RPTOR;RRAGA;RRAGB;RRAGC;RRAGD;RRM2B;SESN1;SESN2;SESN3;SFN;SLC38A9;TIGAR;TNRC6A;TNRC6B;TNRC6C;TP53;TP63;TSC1;TSC2;TXN;TXNRD1;YWHAB;YWHAE;YWHAG;YWHAH;YWHAQ;YWHAZ	NL	discovery
Reactome::TP53 Regulates Transcription of Caspase Activators and Caspases	Reactome	TP53 Regulates Transcription of Caspase Activators and Caspases	12	11	APAF1;ATM;CASP1;CASP10;CASP2;CASP6;CRADD;PIDD1;TP53;TP63;TP73	NL	discovery
Reactome::TP53 Regulates Transcription of Cell Cycle Genes	Reactome	TP53 Regulates Transcription of Cell Cycle Genes	49	48	ARID3A;AURKA;BAX;BTG2;CARM1;CCNA1;CCNA2;CCNB1;CCNE1;CCNE2;CDC25C;CDK1;CDK2;CDKN1A;CDKN1B;CNOT1;CNOT10;CNOT11;CNOT2;CNOT3;CNOT4;CNOT6;CNOT6L;CNOT7;CNOT8;CNOT9;E2F1;E2F4;E2F7;E2F8;EP300;GADD45A;NPM1;PCBP4;PCNA;PLAGL1;PLK2;PLK3;PRMT1;RBL1;RBL2;RGCC;SFN;TFDP1;TFDP2;TNKS1BP1;TP53;ZNF385A	NL	discovery
Reactome::TP53 Regulates Transcription of Cell Death Genes	Reactome	TP53 Regulates Transcription of Cell Death Genes	44	42	AIFM2;APAF1;ATM;BAX;BBC3;BCL6;BID;BIRC5;BNIP3L;CASP1;CASP10;CASP2;CASP6;CHM;CRADD;CREBBP;FAS;IGFBP3;NDRG1;PERP;PIDD1;PMAIP1;PPP1R13B;PRELID1;PRELID3A;RABGGTA;RABGGTB;STEAP3;TMEM219;TNFRSF10A;TNFRSF10B;TNFRSF10C;TNFRSF10D;TP53;TP53AIP1;TP53BP2;TP53I3;TP53INP1;TP63;TP73;TRIAP1;ZNF420	NL	discovery
Reactome::TP53 Regulates Transcription of DNA Repair Genes	Reactome	TP53 Regulates Transcription of DNA Repair Genes	62	61	ATF2;ATM;ATR;BRCA1;CCNH;CCNK;CCNT1;CCNT2;CDK12;CDK13;CDK7;CDK9;CHEK1;CTDP1;DDB2;ELL;ELOA;ELOB;ELOC;ERCC2;ERCC3;FANCC;FANCD2;FANCI;FOS;GTF2F1;GTF2F2;GTF2H1;GTF2H2;GTF2H3;GTF2H4;GTF2H5;JUN;MDC1;MLH1;MNAT1;MSH2;NELFA;NELFB;NELFCD;NELFE;PMS2;POLR2A;POLR2B;POLR2C;POLR2D;POLR2E;POLR2F;POLR2G;POLR2H;POLR2I;POLR2J;POLR2K;POLR2L;RAD51D;SSRP1;SUPT16H;SUPT4H1;SUPT5H;TCEA1;TP53	NL	discovery
Reactome::TP53 Regulates Transcription of Death Receptors and Ligands	Reactome	TP53 Regulates Transcription of Death Receptors and Ligands	12	12	FAS;IGFBP3;PPP1R13B;TMEM219;TNFRSF10A;TNFRSF10B;TNFRSF10C;TNFRSF10D;TP53;TP53BP2;TP63;TP73	NL	discovery
Reactome::TP53 Regulates Transcription of Genes Involved in Cytochrome C Release	Reactome	TP53 Regulates Transcription of Genes Involved in Cytochrome C Release	20	20	AIFM2;ATM;BAX;BBC3;BID;BNIP3L;CREBBP;PMAIP1;PPP1R13B;PRELID1;PRELID3A;STEAP3;TP53;TP53AIP1;TP53BP2;TP53INP1;TP63;TP73;TRIAP1;ZNF420	NL	discovery
Reactome::TP53 Regulates Transcription of Genes Involved in G1 Cell Cycle Arrest	Reactome	TP53 Regulates Transcription of Genes Involved in G1 Cell Cycle Arrest	14	14	ARID3A;CCNA1;CCNA2;CCNE1;CCNE2;CDK2;CDKN1A;CDKN1B;E2F1;E2F7;E2F8;PCBP4;TP53;ZNF385A	NL	discovery
Reactome::TP53 Regulates Transcription of Genes Involved in G2 Cell Cycle Arrest	Reactome	TP53 Regulates Transcription of Genes Involved in G2 Cell Cycle Arrest	18	18	AURKA;BAX;CARM1;CCNB1;CDC25C;CDK1;E2F4;EP300;GADD45A;PCNA;PRMT1;RBL1;RBL2;SFN;TFDP1;TFDP2;TP53;ZNF385A	NL	discovery
Reactome::TP53 regulates transcription of additional cell cycle genes whose exact role in the p53 pathway remain uncertain	Reactome	TP53 regulates transcription of additional cell cycle genes whose exact role in the p53 pathway remain uncertain	21	20	BTG2;CDC25C;CNOT1;CNOT10;CNOT11;CNOT2;CNOT3;CNOT4;CNOT6;CNOT6L;CNOT7;CNOT8;CNOT9;NPM1;PLAGL1;PLK2;PLK3;RGCC;TNKS1BP1;TP53	NL	discovery
Reactome::TP53 regulates transcription of several additional cell death genes whose specific roles in p53-dependent apoptosis remain uncertain	Reactome	TP53 regulates transcription of several additional cell death genes whose specific roles in p53-dependent apoptosis remain uncertain	14	13	BCL6;BIRC5;CHM;NDRG1;PERP;PPP1R13B;RABGGTA;RABGGTB;TP53;TP53BP2;TP53I3;TP63;TP73	NL	discovery
Reactome::TRAF3-dependent IRF activation pathway	Reactome	TRAF3-dependent IRF activation pathway	18	14	CREBBP;EP300;IFIH1;IKBKE;IRF3;IRF7;MAVS;RIGI;RNF135;SIKE1;TBK1;TRAF3;TRIM25;TRIM4	NL	discovery
Reactome::TRAF6 mediated IRF7 activation	Reactome	TRAF6 mediated IRF7 activation	30	16	CREBBP;EP300;IFIH1;IKBKE;IRF3;IRF7;MAVS;RIGI;RNF135;SIKE1;TANK;TBK1;TRAF2;TRAF6;TRIM25;TRIM4	NL	discovery
Reactome::TRAF6 mediated IRF7 activation in TLR7/8 or 9 signaling	Reactome	TRAF6 mediated IRF7 activation in TLR7/8 or 9 signaling	13	12	IRAK1;IRAK4;IRF7;MYD88;RPS27A;TLR7;TRAF6;UBA52;UBB;UBC;UBE2N;UBE2V1	NL	discovery
Reactome::TRAF6 mediated NF-kB activation	Reactome	TRAF6 mediated NF-kB activation	25	24	APP;CHUK;HMGB1;IFIH1;IKBKB;IKBKG;MAP3K1;MAVS;NFKB1;NFKB2;NFKBIA;NFKBIB;NKIRAS1;NKIRAS2;RELA;RIGI;RNF135;S100A12;S100B;SAA1;TRAF2;TRAF6;TRIM25;TRIM4	NL	discovery
Reactome::TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation	Reactome	TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation	102	99	ALPK1;APP;ATF1;ATF2;BTRC;CASP8;CD14;CHUK;CREB1;CUL1;DUSP3;DUSP4;DUSP6;DUSP7;ECSIT;ELK1;FBXW11;FOS;HMGB1;IKBIP;IKBKB;IKBKG;IRAK1;IRAK2;IRAK4;JUN;LRRC14;LY96;MAP2K1;MAP2K3;MAP2K4;MAP2K6;MAP2K7;MAP3K1;MAP3K7;MAP3K8;MAPK1;MAPK10;MAPK11;MAPK14;MAPK3;MAPK7;MAPK8;MAPK9;MAPKAPK2;MAPKAPK3;MEF2A;MEF2C;MYD88;N4BP1;NFKB1;NFKB2;NFKBIA;NFKBIB;NKIRAS1;NKIRAS2;NLRC5;NLRX1;NOD1;NOD2;PELI1;PELI2;PELI3;PPP2CA;PPP2CB;PPP2R1A;PPP2R1B;PPP2R5D;RELA;RIPK2;RPS27A;RPS6KA1;RPS6KA2;RPS6KA3;RPS6KA5;S100A12;S100B;SAA1;SKP1;TAB1;TAB2;TAB3;TICAM1;TICAM2;TIFA;TLR4;TLR7;TNIP2;TP53;TRAF2;TRAF6;UBA52;UBB;UBC;UBE2N;UBE2V1;USP14;USP18;VRK3	NL	discovery
Reactome::TRAF6-mediated induction of TAK1 complex within TLR4 complex	Reactome	TRAF6-mediated induction of TAK1 complex within TLR4 complex	16	16	CD14;IRAK2;LY96;MAP3K7;RPS27A;SARM1;TAB1;TAB2;TAB3;TICAM1;TICAM2;TLR4;TRAF6;UBA52;UBB;UBC	NL	discovery
